Wall time,Step,Value
1565044931.4005113,1982000,6.462281227111816
1565044952.887834,1984000,6.543673515319824
1565045153.889213,2002000,6.733588695526123
1565045196.4499898,2006000,6.759820461273193
1565045282.7710116,2014000,6.774008750915527
1565045474.5183434,2031000,6.917925834655762
1565045538.0828948,2037000,7.02108907699585
1565045795.3477902,2061000,7.072166442871094
1565045943.3862069,2074000,7.3519062995910645
1565045975.3202012,2077000,7.233967304229736
1565045986.1216917,2078000,7.4086785316467285
1565046007.3199687,2080000,7.282219886779785
1565046028.6668832,2082000,7.305100440979004
1565046072.6500587,2086000,7.292735576629639
1565046115.961119,2090000,7.3217949867248535
1565046192.9170227,2097000,7.311739921569824
1565046354.5686789,2112000,7.4251203536987305
1565046729.6420805,2146000,7.722681999206543
1565046772.5331717,2150000,7.810088634490967
1565046856.279576,2157000,8.113763809204102
1565046954.8119807,2166000,8.17588996887207
1565047083.0414813,2178000,8.213773727416992
1565047189.4182603,2188000,8.16569709777832
1565047210.5845475,2190000,8.220879554748535
1565047232.4605992,2192000,8.110939979553223
1565047294.8106418,2197000,8.530118942260742
1565047327.0858924,2200000,8.576896667480469
1565047412.5532084,2208000,8.537818908691406
1565047455.2580032,2212000,8.51463508605957
1565047671.809503,2232000,8.487046241760254
1565047734.3628795,2237000,8.650837898254395
1565047744.9713223,2238000,8.811565399169922
1565047766.7591121,2240000,8.896728515625
1565047798.9706752,2243000,8.884255409240723
1565047841.3583474,2247000,8.980636596679688
1565047851.9015894,2248000,8.883613586425781
1565047926.339725,2255000,8.91272258758545
1565047958.8962066,2258000,8.825653076171875
1565048013.3891454,2263000,8.869075775146484
1565048224.8554978,2282000,9.276137351989746
1565048333.8744133,2292000,9.247535705566406
1565048399.1845315,2298000,9.236888885498047
1565048464.788048,2304000,9.230853080749512
1565048508.0271952,2308000,9.250181198120117
1565048648.9241023,2320000,9.40182113647461
1565048659.503254,2321000,9.62821102142334
1565048927.923179,2346000,9.656994819641113
1565049025.144303,2355000,9.69804859161377
1565049406.4503279,2390000,9.877278327941895
1565049416.937649,2391000,9.93639087677002
1565049438.2063272,2393000,9.910228729248047
1565049915.2412713,2437000,10.28609848022461
1565050008.5982232,2445000,10.562582969665527
1565050083.3597755,2452000,10.539670944213867
1565050105.492665,2454000,10.552907943725586
